# Created by Octave 3.8.1, Sun Apr 19 23:31:51 2015 ART <nicolas@nicolas-HP-Pavilion-dm4-Notebook-PC>
# name: values
# type: matrix
# rows: 212
# columns: 2
 -4.775 1.021530690072126
 -4.75 1.007776320386243
 -4.725 1.000874658455447
 -4.7 1.000844131458481
 -4.675 1.007684820899494
 -4.65 1.021378462401069
 -4.625 1.041888492084508
 -4.6 1.069160139420974
 -4 3.320302393882088
 -3.5 5.612489990719534
 -3.3 6.008443470018836
 -3.275 6.026858860003724
 -3.25 6.03795801171418
 -3.225 6.041666663585507
 -3.2 6.037928899702158
 -3.175 6.02670731871076
 -3.15 6.007983156517395
 -3.125 5.98175636244415
 -3.1 5.948045628636362
 -2.5 3.252514412285722
 -2 0.1297717105834826
 -1.7 -0.8920593881908517
 -1.675 -0.9296607439203821
 -1.65 -0.9593043381805136
 -1.625 -0.9809203687814703
 -1.6 -0.9944579304257644
 -1.575 -0.999885139992829
 -1.55 -0.9971892150091954
 -1.525 -0.9863765051088424
 -1.5 -0.9674724764053908
 -1 0.9100885055506767
 -0.5 4.141481379000216
 0 6
 0.025 6.021248177099612
 0.05 6.034991665104756
 0.075 6.041242941080871
 0.1 6.040033150170554
 0.125 6.031411998517162
 0.15 6.015447599850416
 0.175 5.992226276135732
 0.2 5.961852312803717
 0.5 5.100332456208622
 1 2.593030475166469
 1.5 1.027517496802718
 1.525 1.011526557874475
 1.55 1.002378313369519
 1.575 1.000097189164777
 1.6 1.004689275657246
 1.625 1.016142312298193
 1.65 1.034425718727324
 1.675 1.059490672428778
 1.7 1.091270232714086
 2 1.948366564234846
 2.5 4.449458700493635
 3 6.021630868010965
 3.025 6.035134510854752
 3.05 6.041269957560191
 3.075 6.039975264782129
 3.1 6.031206953502942
 3.125 6.014940146902847
 3.15 5.991168661783097
 3.175 5.959905053295343
 3.2 5.921180612846999
 3.5 4.910923535340294
 4 1.806697403266232
 4.6 -0.9182218678459552
 4.625 -0.9504795328884501
 4.65 -0.9747304151166899
 4.675 -0.9909174060907654
 4.7 -0.9990023836697203
 4.725 -0.9989663058365563
 4.75 -0.9908092575645134
 4.775 -0.9745504506079319
 4.8 -0.9502281762182216
 5 -0.4761388618924959
 5.5 2.30773676839376
 6.3 6.015117656987362
 6.325 6.031317810251735
 6.35 6.040019606964314
 6.375 6.041248089632952
 6.4 6.0350469019428
 6.425 6.021478150474943
 6.45 6.000622220344539
 6.475 5.972577545237462
 6.5 5.937460332438404
 7 4.06719825334229
 7.5 1.658936238198275
 7.8 1.016010469823159
 7.825 1.004618261663742
 7.85 1.000087193257899
 7.875 1.002429362237247
 7.9 1.011638515219907
 7.925 1.027690063690172
 7.95 1.050541146438467
 7.975 1.080130738404886
 8 1.116379805653228
 8.5 2.9729970984687
 9 5.393068609973996
 9.199999999999999 5.924810431254552
 9.225 5.962153219099221
 9.25 5.992464166625201
 9.275 6.015621470065372
 9.300000000000001 6.031521002324211
 9.324999999999999 6.040076602143489
 9.35 6.041220318471973
 9.375 6.034902609410215
 9.4 6.021092495214988
 10 3.680225074550806
 10.5 0.4771164593555245
 10.9 -0.9407962596862076
 10.925 -0.9676758704638365
 10.95 -0.9865082033711552
 10.975 -0.9972489073066108
 11 -0.9998726857346149
 11.025 -0.9943733589452449
 11.05 -0.9807638792638307
 11.075 -0.9590762991725671
 11.1 -0.9293616924235115
 11.5 0.5260487643113787
 12 3.735964104010556
 12.5 5.907286538239219
 12.525 5.948377876712754
 12.55 5.982022278396346
 12.575 6.008182491852613
 12.6 6.026839991394527
 12.625 6.037994994103223
 12.65 6.041666430004997
 12.675 6.037891865500301
 12.7 6.026727380254391
 13 5.360925003812561
 13.5 2.927368000350112
 14 1.10278975675417
 14.025 1.068888363732937
 14.05 1.041676476206117
 14.075 1.021226772541912
 14.1 1.007593862109496
 14.125 1.000814146599307
 14.15 1.000905727583774
 14.175 1.007868360550467
 14.2 1.02168345552301
 14.5 1.690722466457682
 15 4.113042189819869


